_id,Quarter,HB,HBQF,HBName,HBNameQF,ADPName,ADPNameQF,ServiceType,ServiceTypeQF,SubstanceType,SubstanceTypeQF,Measure,Waited_1_week_or_less,Waited_more_than_1_week_but_within_2_weeks,Waited_more_than_2_week_but_within_3_weeks,Waited_more_than_3_week_but_within_4_weeks,Waited_more_than_4_week_but_within_8_weeks,Waited_more_than_8_week_but_within_12_weeks,Waited_more_than_12_week_but_within_26_weeks,Waited_more_than_26_week_but_within_52_weeks,Waited_more_than_52_week,LDP_standard_waited_3_weeks_or_less,LDP_standard_waited_more_than_3_weeks,Median_length_of_wait_days
56,Q1 2023/2024,S08000015,"",NHS Ayrshire & Arran,"",East Ayrshire ADP,"",Community-based service,"",Drug,"",Number,107,2,0,1,0,0,0,0,0,109,1,0
57,Q1 2023/2024,S08000015,"",NHS Ayrshire & Arran,"",East Ayrshire ADP,"",Prison-based service,"",Drug,"",Number,6,1,2,1,0,0,0,0,0,9,1,2
58,Q2 2023/2024,S08000015,"",NHS Ayrshire & Arran,"",East Ayrshire ADP,"",All services,d,Drug,"",Number,98,7,4,3,2,0,0,0,0,109,5,0
59,Q2 2023/2024,S08000015,"",NHS Ayrshire & Arran,"",East Ayrshire ADP,"",Community-based service,"",Drug,"",Number,94,0,0,0,0,0,0,0,0,94,0,0
60,Q2 2023/2024,S08000015,"",NHS Ayrshire & Arran,"",East Ayrshire ADP,"",Prison-based service,"",Drug,"",Number,4,7,4,3,2,0,0,0,0,15,5,13.5
61,Q2 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",North Ayrshire ADP,"",All services,d,Alcohol,"",Number,37,43,32,2,0,0,0,0,0,112,2,10
62,Q2 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",North Ayrshire ADP,"",Community-based service,"",Alcohol,"",Number,37,43,32,2,0,0,0,0,0,112,2,10
63,Q3 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",North Ayrshire ADP,"",All services,d,Alcohol,"",Number,24,39,23,3,0,0,0,0,0,86,3,11
64,Q3 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",North Ayrshire ADP,"",Community-based service,"",Alcohol,"",Number,24,39,23,3,0,0,0,0,0,86,3,11
65,Q4 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",North Ayrshire ADP,"",All services,d,Alcohol,"",Number,23,39,18,2,1,0,0,0,0,80,3,13
66,Q4 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",North Ayrshire ADP,"",Community-based service,"",Alcohol,"",Number,23,39,18,2,1,0,0,0,0,80,3,13
67,Q1 2023/2024,S08000015,"",NHS Ayrshire & Arran,"",North Ayrshire ADP,"",All services,d,Alcohol,"",Number,28,38,22,2,0,0,0,0,0,88,2,10
68,Q1 2023/2024,S08000015,"",NHS Ayrshire & Arran,"",North Ayrshire ADP,"",Community-based service,"",Alcohol,"",Number,28,38,22,2,0,0,0,0,0,88,2,10
69,Q2 2023/2024,S08000015,"",NHS Ayrshire & Arran,"",North Ayrshire ADP,"",All services,d,Alcohol,"",Number,19,43,33,0,0,0,0,0,0,95,0,13
70,Q2 2023/2024,S08000015,"",NHS Ayrshire & Arran,"",North Ayrshire ADP,"",Community-based service,"",Alcohol,"",Number,19,43,33,0,0,0,0,0,0,95,0,13
71,Q2 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",North Ayrshire ADP,"",All services,d,All,d,Number,83,60,50,4,0,0,0,0,0,193,4,9
72,Q2 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",North Ayrshire ADP,"",Community-based service,"",All,d,Number,83,60,50,4,0,0,0,0,0,193,4,9
73,Q3 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",North Ayrshire ADP,"",All services,d,All,d,Number,76,67,30,3,0,0,0,0,0,173,3,9
74,Q3 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",North Ayrshire ADP,"",Community-based service,"",All,d,Number,76,67,30,3,0,0,0,0,0,173,3,9
75,Q4 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",North Ayrshire ADP,"",All services,d,All,d,Number,86,58,29,5,3,0,0,0,0,173,8,8
76,Q4 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",North Ayrshire ADP,"",Community-based service,"",All,d,Number,86,58,29,5,3,0,0,0,0,173,8,8
77,Q1 2023/2024,S08000015,"",NHS Ayrshire & Arran,"",North Ayrshire ADP,"",All services,d,All,d,Number,92,52,33,5,0,0,0,0,0,177,5,7
78,Q1 2023/2024,S08000015,"",NHS Ayrshire & Arran,"",North Ayrshire ADP,"",Community-based service,"",All,d,Number,92,52,33,5,0,0,0,0,0,177,5,7
79,Q2 2023/2024,S08000015,"",NHS Ayrshire & Arran,"",North Ayrshire ADP,"",All services,d,All,d,Number,87,60,45,0,1,0,0,0,0,192,1,8
80,Q2 2023/2024,S08000015,"",NHS Ayrshire & Arran,"",North Ayrshire ADP,"",Community-based service,"",All,d,Number,87,60,45,0,1,0,0,0,0,192,1,8
81,Q2 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",North Ayrshire ADP,"",All services,d,Co-dependency,"",Number,9,9,7,2,0,0,0,0,0,25,2,14
82,Q2 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",North Ayrshire ADP,"",Community-based service,"",Co-dependency,"",Number,9,9,7,2,0,0,0,0,0,25,2,14
83,Q3 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",North Ayrshire ADP,"",All services,d,Co-dependency,"",Number,10,9,1,0,0,0,0,0,0,20,0,7.5
84,Q3 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",North Ayrshire ADP,"",Community-based service,"",Co-dependency,"",Number,10,9,1,0,0,0,0,0,0,20,0,7.5
85,Q4 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",North Ayrshire ADP,"",All services,d,Co-dependency,"",Number,6,5,0,0,1,0,0,0,0,11,1,7.5
86,Q4 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",North Ayrshire ADP,"",Community-based service,"",Co-dependency,"",Number,6,5,0,0,1,0,0,0,0,11,1,7.5
87,Q1 2023/2024,S08000015,"",NHS Ayrshire & Arran,"",North Ayrshire ADP,"",All services,d,Co-dependency,"",Number,5,4,2,0,0,0,0,0,0,11,0,8
88,Q1 2023/2024,S08000015,"",NHS Ayrshire & Arran,"",North Ayrshire ADP,"",Community-based service,"",Co-dependency,"",Number,5,4,2,0,0,0,0,0,0,11,0,8
89,Q2 2023/2024,S08000015,"",NHS Ayrshire & Arran,"",North Ayrshire ADP,"",All services,d,Co-dependency,"",Number,8,3,4,0,0,0,0,0,0,15,0,7
90,Q2 2023/2024,S08000015,"",NHS Ayrshire & Arran,"",North Ayrshire ADP,"",Community-based service,"",Co-dependency,"",Number,8,3,4,0,0,0,0,0,0,15,0,7
91,Q2 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",North Ayrshire ADP,"",All services,d,Drug,"",Number,37,8,11,0,0,0,0,0,0,56,0,3.5
92,Q2 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",North Ayrshire ADP,"",Community-based service,"",Drug,"",Number,37,8,11,0,0,0,0,0,0,56,0,3.5
93,Q3 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",North Ayrshire ADP,"",All services,d,Drug,"",Number,42,19,6,0,0,0,0,0,0,67,0,6
94,Q3 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",North Ayrshire ADP,"",Community-based service,"",Drug,"",Number,42,19,6,0,0,0,0,0,0,67,0,6
95,Q4 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",North Ayrshire ADP,"",All services,d,Drug,"",Number,57,14,11,3,1,0,0,0,0,82,4,4.5
96,Q4 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",North Ayrshire ADP,"",Community-based service,"",Drug,"",Number,57,14,11,3,1,0,0,0,0,82,4,4.5
97,Q1 2023/2024,S08000015,"",NHS Ayrshire & Arran,"",North Ayrshire ADP,"",All services,d,Drug,"",Number,59,10,9,3,0,0,0,0,0,78,3,5
98,Q1 2023/2024,S08000015,"",NHS Ayrshire & Arran,"",North Ayrshire ADP,"",Community-based service,"",Drug,"",Number,59,10,9,3,0,0,0,0,0,78,3,5
99,Q2 2023/2024,S08000015,"",NHS Ayrshire & Arran,"",North Ayrshire ADP,"",All services,d,Drug,"",Number,60,14,8,0,1,0,0,0,0,82,1,3
100,Q2 2023/2024,S08000015,"",NHS Ayrshire & Arran,"",North Ayrshire ADP,"",Community-based service,"",Drug,"",Number,60,14,8,0,1,0,0,0,0,82,1,3
101,Q2 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",South Ayrshire ADP,"",All services,d,Alcohol,"",Number,62,14,18,0,0,0,0,0,0,94,0,3.5
102,Q2 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",South Ayrshire ADP,"",Community-based service,"",Alcohol,"",Number,62,14,18,0,0,0,0,0,0,94,0,3.5
103,Q3 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",South Ayrshire ADP,"",All services,d,Alcohol,"",Number,69,20,22,0,0,0,0,0,0,111,0,5
104,Q3 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",South Ayrshire ADP,"",Community-based service,"",Alcohol,"",Number,69,20,22,0,0,0,0,0,0,111,0,5
105,Q4 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",South Ayrshire ADP,"",All services,d,Alcohol,"",Number,64,7,12,0,0,0,0,0,0,83,0,1
106,Q4 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",South Ayrshire ADP,"",Community-based service,"",Alcohol,"",Number,64,7,12,0,0,0,0,0,0,83,0,1
107,Q1 2023/2024,S08000015,"",NHS Ayrshire & Arran,"",South Ayrshire ADP,"",All services,d,Alcohol,"",Number,79,14,14,1,0,0,0,0,0,107,1,2
108,Q1 2023/2024,S08000015,"",NHS Ayrshire & Arran,"",South Ayrshire ADP,"",Community-based service,"",Alcohol,"",Number,79,14,14,1,0,0,0,0,0,107,1,2
109,Q2 2023/2024,S08000015,"",NHS Ayrshire & Arran,"",South Ayrshire ADP,"",All services,d,Alcohol,"",Number,70,16,21,3,1,0,0,0,0,107,4,3
110,Q2 2023/2024,S08000015,"",NHS Ayrshire & Arran,"",South Ayrshire ADP,"",Community-based service,"",Alcohol,"",Number,70,16,21,3,1,0,0,0,0,107,4,3
111,Q2 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",South Ayrshire ADP,"",All services,d,All,d,Number,137,17,18,0,0,0,0,0,0,172,0,1.5
112,Q2 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",South Ayrshire ADP,"",Community-based service,"",All,d,Number,137,17,18,0,0,0,0,0,0,172,0,1.5
113,Q3 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",South Ayrshire ADP,"",All services,d,All,d,Number,153,26,22,0,0,0,0,0,0,201,0,1
114,Q3 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",South Ayrshire ADP,"",Community-based service,"",All,d,Number,153,26,22,0,0,0,0,0,0,201,0,1
115,Q4 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",South Ayrshire ADP,"",All services,d,All,d,Number,148,11,12,0,0,0,0,0,0,171,0,1
116,Q4 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",South Ayrshire ADP,"",Community-based service,"",All,d,Number,148,11,12,0,0,0,0,0,0,171,0,1
117,Q1 2023/2024,S08000015,"",NHS Ayrshire & Arran,"",South Ayrshire ADP,"",All services,d,All,d,Number,182,15,15,2,0,0,0,0,0,212,2,1
118,Q1 2023/2024,S08000015,"",NHS Ayrshire & Arran,"",South Ayrshire ADP,"",Community-based service,"",All,d,Number,182,15,15,2,0,0,0,0,0,212,2,1
119,Q2 2023/2024,S08000015,"",NHS Ayrshire & Arran,"",South Ayrshire ADP,"",All services,d,All,d,Number,175,16,23,3,1,0,0,0,0,214,4,1
120,Q2 2023/2024,S08000015,"",NHS Ayrshire & Arran,"",South Ayrshire ADP,"",Community-based service,"",All,d,Number,175,16,23,3,1,0,0,0,0,214,4,1
121,Q2 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",South Ayrshire ADP,"",All services,d,Co-dependency,"",Number,17,0,0,0,0,0,0,0,0,17,0,1
122,Q2 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",South Ayrshire ADP,"",Community-based service,"",Co-dependency,"",Number,17,0,0,0,0,0,0,0,0,17,0,1
123,Q3 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",South Ayrshire ADP,"",All services,d,Co-dependency,"",Number,20,0,0,0,0,0,0,0,0,20,0,1
124,Q3 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",South Ayrshire ADP,"",Community-based service,"",Co-dependency,"",Number,20,0,0,0,0,0,0,0,0,20,0,1
125,Q4 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",South Ayrshire ADP,"",All services,d,Co-dependency,"",Number,21,1,0,0,0,0,0,0,0,22,0,1
126,Q4 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",South Ayrshire ADP,"",Community-based service,"",Co-dependency,"",Number,21,1,0,0,0,0,0,0,0,22,0,1
127,Q1 2023/2024,S08000015,"",NHS Ayrshire & Arran,"",South Ayrshire ADP,"",All services,d,Co-dependency,"",Number,20,0,0,1,0,0,0,0,0,20,1,1
128,Q1 2023/2024,S08000015,"",NHS Ayrshire & Arran,"",South Ayrshire ADP,"",Community-based service,"",Co-dependency,"",Number,20,0,0,1,0,0,0,0,0,20,1,1
129,Q2 2023/2024,S08000015,"",NHS Ayrshire & Arran,"",South Ayrshire ADP,"",All services,d,Co-dependency,"",Number,31,0,0,0,0,0,0,0,0,31,0,0
130,Q2 2023/2024,S08000015,"",NHS Ayrshire & Arran,"",South Ayrshire ADP,"",Community-based service,"",Co-dependency,"",Number,31,0,0,0,0,0,0,0,0,31,0,0
131,Q2 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",South Ayrshire ADP,"",All services,d,Drug,"",Number,58,3,0,0,0,0,0,0,0,61,0,1
132,Q2 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",South Ayrshire ADP,"",Community-based service,"",Drug,"",Number,58,3,0,0,0,0,0,0,0,61,0,1
133,Q3 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",South Ayrshire ADP,"",All services,d,Drug,"",Number,64,6,0,0,0,0,0,0,0,70,0,1
134,Q3 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",South Ayrshire ADP,"",Community-based service,"",Drug,"",Number,64,6,0,0,0,0,0,0,0,70,0,1
135,Q4 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",South Ayrshire ADP,"",All services,d,Drug,"",Number,63,3,0,0,0,0,0,0,0,66,0,1
136,Q4 2022/2023,S08000015,"",NHS Ayrshire & Arran,"",South Ayrshire ADP,"",Community-based service,"",Drug,"",Number,63,3,0,0,0,0,0,0,0,66,0,1
137,Q1 2023/2024,S08000015,"",NHS Ayrshire & Arran,"",South Ayrshire ADP,"",All services,d,Drug,"",Number,83,1,1,0,0,0,0,0,0,85,0,1
138,Q1 2023/2024,S08000015,"",NHS Ayrshire & Arran,"",South Ayrshire ADP,"",Community-based service,"",Drug,"",Number,83,1,1,0,0,0,0,0,0,85,0,1
139,Q2 2023/2024,S08000015,"",NHS Ayrshire & Arran,"",South Ayrshire ADP,"",All services,d,Drug,"",Number,74,0,2,0,0,0,0,0,0,76,0,1
140,Q2 2023/2024,S08000015,"",NHS Ayrshire & Arran,"",South Ayrshire ADP,"",Community-based service,"",Drug,"",Number,74,0,2,0,0,0,0,0,0,76,0,1
141,Q2 2022/2023,S08000016,"",NHS Borders,"",Scottish Borders ADP,"",All services,d,Alcohol,"",Number,70,7,6,0,0,0,0,0,0,83,0,1
142,Q2 2022/2023,S08000016,"",NHS Borders,"",Scottish Borders ADP,"",Community-based service,"",Alcohol,"",Number,70,7,6,0,0,0,0,0,0,83,0,1
143,Q3 2022/2023,S08000016,"",NHS Borders,"",Scottish Borders ADP,"",All services,d,Alcohol,"",Number,60,5,3,0,0,0,0,0,0,68,0,0
144,Q3 2022/2023,S08000016,"",NHS Borders,"",Scottish Borders ADP,"",Community-based service,"",Alcohol,"",Number,60,5,3,0,0,0,0,0,0,68,0,0
145,Q4 2022/2023,S08000016,"",NHS Borders,"",Scottish Borders ADP,"",All services,d,Alcohol,"",Number,88,6,1,0,0,0,0,0,0,95,0,0
146,Q4 2022/2023,S08000016,"",NHS Borders,"",Scottish Borders ADP,"",Community-based service,"",Alcohol,"",Number,88,6,1,0,0,0,0,0,0,95,0,0
147,Q1 2023/2024,S08000016,"",NHS Borders,"",Scottish Borders ADP,"",All services,d,Alcohol,"",Number,70,7,3,1,0,0,0,0,0,80,1,0
148,Q1 2023/2024,S08000016,"",NHS Borders,"",Scottish Borders ADP,"",Community-based service,"",Alcohol,"",Number,70,7,3,1,0,0,0,0,0,80,1,0
149,Q2 2023/2024,S08000016,"",NHS Borders,"",Scottish Borders ADP,"",All services,d,Alcohol,"",Number,83,7,2,0,0,0,0,0,0,92,0,0
150,Q2 2023/2024,S08000016,"",NHS Borders,"",Scottish Borders ADP,"",Community-based service,"",Alcohol,"",Number,83,7,2,0,0,0,0,0,0,92,0,0
151,Q2 2022/2023,S08000016,"",NHS Borders,"",Scottish Borders ADP,"",All services,d,All,d,Number,111,12,6,0,0,0,0,0,0,129,0,0
