_id,Month,Hospital,TotalOperations,TotalOperationsQF,TotalCancelled,TotalCancelledQF,CancelledByPatientReason,CancelledByPatientReasonQF,ClinicalReason,ClinicalReasonQF,NonClinicalCapacityReason,NonClinicalCapacityReasonQF,OtherReason,OtherReasonQF
42,201810,A111H,908,"",82,"",31,"",30,"",17,"",4,""
43,201811,A111H,846,"",77,"",34,"",29,"",11,"",3,""
44,201812,A111H,726,"",70,"",30,"",35,"",5,"",0,""
45,201901,A111H,847,"",88,"",39,"",34,"",14,"",1,""
46,201902,A111H,853,"",60,"",22,"",30,"",5,"",3,""
47,201903,A111H,844,"",90,"",33,"",43,"",11,"",3,""
48,201904,A111H,846,"",67,"",35,"",30,"",2,"",0,""
49,201905,A111H,891,"",87,"",33,"",38,"",11,"",5,""
50,201906,A111H,809,"",90,"",22,"",44,"",17,"",7,""
51,201907,A111H,827,"",83,"",30,"",32,"",13,"",8,""
52,201908,A111H,901,"",94,"",33,"",19,"",35,"",7,""
53,201909,A111H,778,"",88,"",43,"",26,"",9,"",10,""
54,201910,A111H,881,"",98,"",40,"",33,"",18,"",7,""
55,201911,A111H,876,"",99,"",45,"",30,"",18,"",6,""
56,201912,A111H,781,"",160,"",29,"",34,"",93,"",4,""
57,202001,A111H,793,"",151,"",33,"",32,"",78,"",8,""
58,202002,A111H,803,"",99,"",31,"",31,"",33,"",4,""
59,202003,A111H,535,"",156,"",20,"",88,"",39,"",9,""
60,202004,A111H,23,"",2,"",1,"",1,"",0,"",0,""
61,202005,A111H,44,"",4,"",1,"",3,"",0,"",0,""
62,202006,A111H,120,"",5,"",1,"",4,"",0,"",0,""
63,202007,A111H,227,"",23,"",7,"",16,"",0,"",0,""
64,202008,A111H,322,"",14,"",1,"",12,"",1,"",0,""
65,202009,A111H,284,"",25,"",5,"",16,"",3,"",1,""
66,202010,A111H,326,"",24,"",7,"",15,"",2,"",0,""
67,202011,A111H,208,"",19,"",10,"",8,"",1,"",0,""
68,202012,A111H,176,"",15,"",3,"",8,"",4,"",0,""
69,202101,A111H,114,"",2,"",0,"",1,"",1,"",0,""
70,202102,A111H,19,"",0,"",0,"",0,"",0,"",0,""
71,202103,A111H,54,"",4,"",0,"",4,"",0,"",0,""
72,202104,A111H,197,"",9,"",3,"",6,"",0,"",0,""
73,202105,A111H,380,"",13,"",5,"",6,"",2,"",0,""
74,202106,A111H,438,"",25,"",6,"",18,"",1,"",0,""
75,202107,A111H,338,"",20,"",5,"",14,"",1,"",0,""
76,202108,A111H,200,"",13,"",1,"",7,"",5,"",0,""
77,202109,A111H,179,"",20,"",3,"",13,"",4,"",0,""
78,202110,A111H,166,"",9,"",3,"",5,"",0,"",1,""
79,202111,A111H,219,"",20,"",6,"",8,"",6,"",0,""
80,202112,A111H,167,"",13,"",0,"",9,"",4,"",0,""
81,202201,A111H,138,"",12,"",2,"",9,"",0,"",1,""
82,202202,A111H,238,"",28,"",8,"",9,"",10,"",1,""
83,202203,A111H,262,"",28,"",5,"",19,"",4,"",0,""
84,202204,A111H,227,"",15,"",5,"",6,"",3,"",1,""
85,202205,A111H,348,"",29,"",4,"",16,"",9,"",0,""
86,202206,A111H,361,"",36,"",4,"",13,"",19,"",0,""
87,202207,A111H,335,"",22,"",7,"",14,"",1,"",0,""
88,202208,A111H,478,"",35,"",15,"",16,"",4,"",0,""
89,202209,A111H,507,"",41,"",15,"",21,"",5,"",0,""
90,202210,A111H,477,"",51,"",19,"",19,"",13,"",0,""
91,202211,A111H,541,"",70,"",11,"",34,"",24,"",1,""
92,202212,A111H,419,"",56,"",11,"",29,"",16,"",0,""
93,201505,A210H,977,"",111,"",31,"",45,"",11,"",24,""
94,201506,A210H,1070,"",121,"",32,"",53,"",17,"",19,""
95,201507,A210H,1133,"",136,"",45,"",56,"",11,"",24,""
96,201508,A210H,1040,"",119,"",32,"",44,"",14,"",29,""
97,201509,A210H,1131,"",129,"",38,"",48,"",21,"",22,""
98,201510,A210H,1154,"",143,"",43,"",55,"",21,"",24,""
99,201511,A210H,1207,"",144,"",47,"",63,"",12,"",22,""
100,201512,A210H,1031,"",134,"",46,"",52,"",11,"",25,""
101,201601,A210H,1113,"",108,"",33,"",54,"",13,"",8,""
102,201602,A210H,1138,"",153,"",56,"",58,"",15,"",24,""
103,201603,A210H,1120,"",133,"",45,"",45,"",19,"",24,""
104,201604,A210H,1113,"",129,"",43,"",53,"",15,"",18,""
105,201605,A210H,1153,"",123,"",38,"",46,"",13,"",26,""
106,201606,A210H,1137,"",118,"",36,"",45,"",15,"",22,""
107,201607,A210H,1094,"",118,"",36,"",54,"",16,"",12,""
108,201608,A210H,1059,"",105,"",41,"",40,"",16,"",8,""
109,201609,A210H,1044,"",120,"",37,"",55,"",17,"",11,""
110,201610,A210H,1042,"",124,"",47,"",38,"",27,"",12,""
111,201611,A210H,1203,"",133,"",45,"",49,"",20,"",19,""
112,201612,A210H,1003,"",109,"",31,"",47,"",19,"",12,""
113,201701,A210H,1071,"",96,"",31,"",52,"",5,"",8,""
114,201702,A210H,1026,"",125,"",36,"",57,"",22,"",10,""
115,201703,A210H,1131,"",127,"",38,"",65,"",19,"",5,""
116,201704,A210H,908,"",108,"",34,"",52,"",18,"",4,""
117,201705,A210H,1051,"",134,"",41,"",68,"",17,"",8,""
118,201706,A210H,1130,"",111,"",32,"",67,"",9,"",3,""
119,201707,A210H,990,"",91,"",26,"",47,"",16,"",2,""
120,201708,A210H,1076,"",119,"",24,"",69,"",21,"",5,""
121,201709,A210H,930,"",94,"",23,"",57,"",12,"",2,""
122,201710,A210H,880,"",84,"",23,"",40,"",17,"",4,""
123,201711,A210H,1025,"",104,"",25,"",55,"",20,"",4,""
124,201712,A210H,825,"",107,"",29,"",66,"",8,"",4,""
125,201801,A210H,971,"",107,"",32,"",50,"",22,"",3,""
126,201802,A210H,861,"",106,"",35,"",50,"",19,"",2,""
127,201803,A210H,981,"",103,"",28,"",54,"",16,"",5,""
128,201804,A210H,807,"",82,"",32,"",46,"",4,"",0,""
129,201805,A210H,931,"",97,"",33,"",54,"",7,"",3,""
130,201806,A210H,805,"",70,"",17,"",40,"",11,"",2,""
131,201807,A210H,802,"",78,"",28,"",41,"",8,"",1,""
132,201808,A210H,883,"",98,"",44,"",43,"",11,"",0,""
133,201809,A210H,726,"",71,"",22,"",44,"",2,"",3,""
134,201810,A210H,875,"",105,"",33,"",43,"",26,"",3,""
135,201811,A210H,928,"",109,"",23,"",45,"",40,"",1,""
136,201812,A210H,773,"",83,"",17,"",42,"",19,"",5,""
137,201901,A210H,1030,"",171,"",35,"",78,"",55,"",3,""
138,201902,A210H,880,"",120,"",30,"",56,"",30,"",4,""
139,201903,A210H,887,"",100,"",18,"",57,"",20,"",5,""
140,201904,A210H,852,"",90,"",25,"",42,"",21,"",2,""
141,201905,A210H,819,"",92,"",27,"",40,"",22,"",3,""
142,201906,A210H,759,"",86,"",29,"",35,"",17,"",5,""
143,201907,A210H,814,"",106,"",34,"",46,"",14,"",12,""
144,201908,A210H,983,"",112,"",36,"",45,"",28,"",3,""
145,201909,A210H,783,"",82,"",25,"",32,"",22,"",3,""
146,201910,A210H,904,"",111,"",28,"",51,"",28,"",4,""
147,201911,A210H,894,"",114,"",22,"",58,"",32,"",2,""
148,201912,A210H,860,"",117,"",28,"",61,"",24,"",4,""
149,202001,A210H,911,"",110,"",27,"",40,"",40,"",3,""
150,202002,A210H,850,"",105,"",32,"",51,"",20,"",2,""
151,202003,A210H,694,"",106,"",22,"",47,"",24,"",13,""
152,202004,A210H,145,"",25,"",1,"",18,"",6,"",0,""
153,202005,A210H,108,"",10,"",1,"",4,"",5,"",0,""
154,202006,A210H,236,"",10,"",4,"",4,"",1,"",1,""
155,202007,A210H,435,"",37,"",8,"",25,"",3,"",1,""
156,202008,A210H,553,"",39,"",8,"",21,"",10,"",0,""
157,202009,A210H,618,"",44,"",7,"",31,"",6,"",0,""
158,202010,A210H,554,"",62,"",12,"",32,"",18,"",0,""
159,202011,A210H,518,"",40,"",5,"",22,"",11,"",2,""
160,202012,A210H,473,"",37,"",4,"",25,"",7,"",1,""
161,202101,A210H,171,"",10,"",1,"",6,"",3,"",0,""
162,202102,A210H,233,"",14,"",3,"",8,"",0,"",3,""
163,202103,A210H,332,"",25,"",4,"",17,"",3,"",1,""
164,202104,A210H,480,"",38,"",9,"",19,"",8,"",2,""
165,202105,A210H,638,"",58,"",8,"",35,"",15,"",0,""
166,202106,A210H,753,"",86,"",11,"",58,"",16,"",1,""
167,202107,A210H,615,"",74,"",15,"",40,"",19,"",0,""
168,202108,A210H,710,"",61,"",12,"",40,"",8,"",1,""
169,202109,A210H,569,"",53,"",12,"",29,"",12,"",0,""
170,202110,A210H,622,"",45,"",12,"",28,"",5,"",0,""
171,202111,A210H,845,"",100,"",13,"",60,"",26,"",1,""
172,202112,A210H,708,"",86,"",16,"",43,"",26,"",1,""
173,202201,A210H,390,"",48,"",12,"",26,"",10,"",0,""
174,202202,A210H,714,"",78,"",10,"",36,"",30,"",2,""
175,202203,A210H,860,"",106,"",25,"",58,"",19,"",4,""
176,202204,A210H,760,"",88,"",20,"",57,"",10,"",1,""
177,202205,A210H,880,"",85,"",23,"",50,"",9,"",3,""
178,202206,A210H,865,"",111,"",36,"",61,"",13,"",1,""
179,202207,A210H,687,"",85,"",20,"",46,"",16,"",3,""
180,202208,A210H,917,"",111,"",26,"",46,"",38,"",1,""
181,202209,A210H,754,"",74,"",14,"",37,"",22,"",1,""
182,202210,A210H,751,"",92,"",20,"",42,"",29,"",1,""
183,202211,A210H,953,"",114,"",24,"",64,"",24,"",2,""
184,202212,A210H,726,"",126,"",25,"",44,"",55,"",2,""
185,201505,B120H,457,"",66,"",11,"",10,"",45,"",0,""
186,201506,B120H,511,"",45,"",15,"",9,"",20,"",1,""
187,201507,B120H,468,"",33,"",7,"",8,"",18,"",0,""
188,201508,B120H,469,"",57,"",8,"",12,"",36,"",1,""
189,201509,B120H,550,"",46,"",18,"",12,"",16,"",0,""
190,201510,B120H,510,"",46,"",10,"",12,"",24,"",0,""
191,201511,B120H,485,"",37,"",11,"",10,"",16,"",0,""
192,201512,B120H,363,"",34,"",9,"",8,"",17,"",0,""
193,201601,B120H,437,"",53,"",19,"",15,"",18,"",1,""
194,201602,B120H,470,"",56,"",11,"",9,"",35,"",1,""
195,201603,B120H,531,"",45,"",12,"",11,"",22,"",0,""
196,201604,B120H,427,"",43,"",7,"",14,"",22,"",0,""
197,201605,B120H,527,"",69,"",10,"",17,"",42,"",0,""
198,201606,B120H,501,"",38,"",11,"",9,"",18,"",0,""
199,201607,B120H,359,"",34,"",13,"",11,"",10,"",0,""
200,201608,B120H,471,"",50,"",9,"",10,"",30,"",1,""
201,201609,B120H,413,"",34,"",11,"",12,"",11,"",0,""
202,201610,B120H,465,"",38,"",14,"",8,"",16,"",0,""
203,201611,B120H,450,"",44,"",13,"",20,"",10,"",1,""
204,201612,B120H,377,"",30,"",14,"",6,"",10,"",0,""
205,201701,B120H,378,"",60,"",10,"",9,"",41,"",0,""
206,201702,B120H,370,"",30,"",11,"",13,"",6,"",0,""
207,201703,B120H,455,"",36,"",14,"",14,"",8,"",0,""
208,201704,B120H,421,"",47,"",14,"",14,"",18,"",1,""
209,201705,B120H,469,"",47,"",14,"",15,"",18,"",0,""
210,201706,B120H,447,"",34,"",7,"",15,"",12,"",0,""
211,201707,B120H,336,"",35,"",5,"",11,"",19,"",0,""
212,201708,B120H,418,"",38,"",7,"",16,"",15,"",0,""
213,201709,B120H,435,"",31,"",12,"",9,"",10,"",0,""
214,201710,B120H,464,"",50,"",11,"",14,"",25,"",0,""
215,201711,B120H,469,"",61,"",28,"",3,"",30,"",0,""
216,201712,B120H,359,"",62,"",11,"",8,"",43,"",0,""
217,201801,B120H,372,"",88,"",21,"",8,"",59,"",0,""
218,201802,B120H,375,"",66,"",10,"",12,"",43,"",1,""
219,201803,B120H,458,"",101,"",16,"",7,"",50,"",28,""
220,201804,B120H,369,"",44,"",10,"",8,"",26,"",0,""
221,201805,B120H,442,"",32,"",15,"",8,"",9,"",0,""
222,201806,B120H,395,"",37,"",11,"",5,"",21,"",0,""
223,201807,B120H,374,"",38,"",12,"",12,"",14,"",0,""
224,201808,B120H,451,"",44,"",18,"",12,"",14,"",0,""
225,201809,B120H,388,"",25,"",6,"",13,"",6,"",0,""
226,201810,B120H,420,"",43,"",11,"",10,"",22,"",0,""
227,201811,B120H,385,"",33,"",14,"",12,"",7,"",0,""
228,201812,B120H,275,"",25,"",2,"",18,"",4,"",1,""
229,201901,B120H,356,"",34,"",9,"",11,"",14,"",0,""
230,201902,B120H,404,"",40,"",10,"",19,"",10,"",1,""
231,201903,B120H,453,"",44,"",12,"",13,"",17,"",2,""
232,201904,B120H,408,"",25,"",9,"",12,"",4,"",0,""
233,201905,B120H,385,"",33,"",14,"",11,"",8,"",0,""
234,201906,B120H,328,"",28,"",17,"",4,"",7,"",0,""
235,201907,B120H,414,"",24,"",12,"",7,"",5,"",0,""
236,201908,B120H,387,"",46,"",10,"",8,"",28,"",0,""
237,201909,B120H,424,"",38,"",15,"",9,"",14,"",0,""
238,201910,B120H,451,"",36,"",20,"",8,"",8,"",0,""
239,201911,B120H,448,"",45,"",11,"",24,"",9,"",1,""
240,201912,B120H,393,"",49,"",15,"",16,"",18,"",0,""
241,202001,B120H,403,"",20,"",12,"",4,"",4,"",0,""
242,202002,B120H,407,"",33,"",7,"",21,"",5,"",0,""
243,202003,B120H,262,"",55,"",11,"",3,"",41,"",0,""
244,202004,B120H,40,"",5,"",0,"",0,"",5,"",0,""
245,202005,B120H,56,"",4,"",0,"",4,"",0,"",0,""
246,202006,B120H,57,"",1,"",0,"",1,"",0,"",0,""
247,202007,B120H,83,"",4,"",1,"",3,"",0,"",0,""
248,202008,B120H,77,"",5,"",3,"",0,"",2,"",0,""
249,202009,B120H,133,"",7,"",0,"",0,"",7,"",0,""
250,202010,B120H,159,"",10,"",4,"",5,"",1,"",0,""
251,202011,B120H,165,"",5,"",2,"",2,"",1,"",0,""
252,202012,B120H,144,"",15,"",2,"",1,"",12,"",0,""
253,202101,B120H,46,"",5,"",3,"",0,"",2,"",0,""
254,202102,B120H,74,"",6,"",0,"",0,"",6,"",0,""
255,202103,B120H,148,"",8,"",5,"",1,"",2,"",0,""
256,202104,B120H,143,"",5,"",1,"",2,"",2,"",0,""
257,202105,B120H,168,"",5,"",1,"",2,"",2,"",0,""
258,202106,B120H,215,"",15,"",0,"",1,"",14,"",0,""
259,202107,B120H,217,"",23,"",2,"",4,"",17,"",0,""
260,202108,B120H,152,"",37,"",2,"",1,"",34,"",0,""
261,202109,B120H,101,"",7,"",2,"",1,"",4,"",0,""
262,202110,B120H,125,"",18,"",3,"",1,"",14,"",0,""
263,202111,B120H,188,"",19,"",4,"",6,"",9,"",0,""
264,202112,B120H,184,"",10,"",2,"",6,"",2,"",0,""
265,202201,B120H,81,"",26,"",1,"",0,"",22,"",3,""
266,202202,B120H,256,"",41,"",5,"",1,"",35,"",0,""
267,202203,B120H,424,"",26,"",9,"",5,"",11,"",1,""
268,202204,B120H,153,"",27,"",1,"",3,"",23,"",0,""
269,202205,B120H,206,"",17,"",6,"",4,"",7,"",0,""
270,202206,B120H,219,"",40,"",3,"",3,"",34,"",0,""
271,202207,B120H,202,"",45,"",4,"",3,"",38,"",0,""
272,202208,B120H,228,"",25,"",4,"",3,"",17,"",1,""
273,202209,B120H,231,"",25,"",4,"",6,"",11,"",4,""
274,202210,B120H,242,"",22,"",4,"",6,"",12,"",0,""
275,202211,B120H,267,"",32,"",5,"",12,"",14,"",1,""
276,202212,B120H,217,"",40,"",8,"",6,"",26,"",0,""
277,201505,C121H,180,"",25,"",16,"",5,"",4,"",0,""
278,201506,C121H,224,"",30,"",18,"",5,"",7,"",0,""
279,201507,C121H,205,"",26,"",25,"",1,"",0,"",0,""
280,201508,C121H,191,"",22,"",16,"",3,"",3,"",0,""
281,201509,C121H,240,"",35,"",26,"",0,"",9,"",0,""
282,201510,C121H,245,"",39,"",26,"",2,"",11,"",0,""
283,201511,C121H,214,"",26,"",16,"",6,"",3,"",1,""
284,201512,C121H,197,"",27,"",16,"",4,"",7,"",0,""
285,201601,C121H,165,"",28,"",19,"",7,"",2,"",0,""
286,201602,C121H,110,"",22,"",7,"",7,"",7,"",1,""
287,201603,C121H,64,"",5,"",4,"",1,"",0,"",0,""
288,201604,C121H,94,"",13,"",9,"",2,"",2,"",0,""
289,201605,C121H,96,"",12,"",9,"",2,"",1,"",0,""
290,201606,C121H,92,"",10,"",8,"",1,"",1,"",0,""
291,201607,C121H,96,"",11,"",5,"",3,"",3,"",0,""
292,201608,C121H,90,"",8,"",3,"",4,"",1,"",0,""
293,201609,C121H,85,"",17,"",12,"",1,"",4,"",0,""
294,201610,C121H,125,"",16,"",8,"",4,"",4,"",0,""
295,201611,C121H,92,"",9,"",8,"",1,"",0,"",0,""
296,201612,C121H,39,"",6,"",4,"",2,"",0,"",0,""
297,201701,C121H,75,"",13,"",7,"",1,"",5,"",0,""
298,201702,C121H,60,"",9,"",6,"",3,"",0,"",0,""
299,201703,C121H,91,"",10,"",10,"",0,"",0,"",0,""
300,201704,C121H,45,"",5,"",3,"",2,"",0,"",0,""
301,201705,C121H,73,"",10,"",6,"",4,"",0,"",0,""
302,201706,C121H,73,"",7,"",4,"",1,"",2,"",0,""
303,201707,C121H,75,"",4,"",2,"",2,"",0,"",0,""
304,201708,C121H,91,"",8,"",5,"",2,"",1,"",0,""
305,201709,C121H,72,"",6,"",3,"",2,"",1,"",0,""
306,201710,C121H,70,"",10,"",5,"",2,"",3,"",0,""
307,201711,C121H,83,"",10,"",8,"",1,"",1,"",0,""
308,201712,C121H,42,"",6,"",4,"",0,"",2,"",0,""
309,201801,C121H,77,"",19,"",12,"",6,"",1,"",0,""
310,201802,C121H,70,"",7,"",4,"",1,"",0,"",2,""
311,201803,C121H,83,"",10,"",9,"",1,"",0,"",0,""
312,201804,C121H,61,"",7,"",2,"",3,"",2,"",0,""
313,201805,C121H,92,"",16,"",9,"",3,"",4,"",0,""
314,201806,C121H,78,"",17,"",1,"",3,"",13,"",0,""
315,201807,C121H,65,"",16,"",3,"",13,"",0,"",0,""
316,201808,C121H,85,"",12,"",9,"",0,"",3,"",0,""
317,201809,C121H,72,"",11,"",4,"",3,"",4,"",0,""
318,201810,C121H,75,"",14,"",9,"",1,"",4,"",0,""
319,201811,C121H,74,"",8,"",2,"",3,"",3,"",0,""
320,201812,C121H,67,"",6,"",3,"",2,"",1,"",0,""
321,201901,C121H,77,"",16,"",4,"",1,"",10,"",1,""
322,201902,C121H,68,"",7,"",2,"",2,"",3,"",0,""
323,201903,C121H,80,"",13,"",5,"",3,"",5,"",0,""
324,201904,C121H,63,"",9,"",5,"",1,"",3,"",0,""
325,201905,C121H,87,"",7,"",4,"",1,"",2,"",0,""
326,201906,C121H,70,"",5,"",3,"",0,"",2,"",0,""
327,201907,C121H,83,"",10,"",5,"",2,"",3,"",0,""
328,201908,C121H,59,"",4,"",4,"",0,"",0,"",0,""
329,201909,C121H,55,"",10,"",4,"",4,"",2,"",0,""
330,201910,C121H,67,"",11,"",5,"",3,"",3,"",0,""
331,201911,C121H,71,"",7,"",5,"",1,"",1,"",0,""
332,201912,C121H,74,"",13,"",7,"",5,"",1,"",0,""
333,202001,C121H,69,"",11,"",8,"",1,"",1,"",1,""
334,202002,C121H,68,"",4,"",4,"",0,"",0,"",0,""
335,202003,C121H,68,"",24,"",1,"",3,"",20,"",0,""
336,202004,C121H,3,"",0,"",0,"",0,"",0,"",0,""
337,202005,C121H,2,"",0,"",0,"",0,"",0,"",0,""
338,202006,C121H,2,"",0,"",0,"",0,"",0,"",0,""
339,202007,C121H,22,"",2,"",1,"",1,"",0,"",0,""
340,202008,C121H,44,"",3,"",0,"",3,"",0,"",0,""
341,202009,C121H,59,"",5,"",2,"",2,"",1,"",0,""
342,202010,C121H,49,"",4,"",2,"",1,"",1,"",0,""
343,202011,C121H,55,"",4,"",0,"",1,"",3,"",0,""
344,202012,C121H,72,"",8,"",3,"",2,"",3,"",0,""
345,202101,C121H,59,"",9,"",6,"",3,"",0,"",0,""
346,202102,C121H,74,"",13,"",8,"",4,"",1,"",0,""
347,202103,C121H,75,"",10,"",2,"",4,"",4,"",0,""
348,202104,C121H,46,"",1,"",1,"",0,"",0,"",0,""
349,202105,C121H,49,"",4,"",3,"",0,"",1,"",0,""
350,202106,C121H,73,"",5,"",3,"",2,"",0,"",0,""
351,202107,C121H,54,"",8,"",2,"",2,"",4,"",0,""
352,202108,C121H,61,"",6,"",2,"",3,"",1,"",0,""
353,202109,C121H,50,"",5,"",2,"",3,"",0,"",0,""
354,202110,C121H,49,"",8,"",2,"",3,"",3,"",0,""
355,202111,C121H,59,"",9,"",4,"",3,"",2,"",0,""
356,202112,C121H,56,"",8,"",4,"",2,"",2,"",0,""
357,202201,C121H,57,"",4,"",4,"",0,"",0,"",0,""
358,202202,C121H,59,"",9,"",4,"",2,"",3,"",0,""
359,202203,C121H,56,"",11,"",6,"",5,"",0,"",0,""
360,202204,C121H,44,"",6,"",2,"",2,"",2,"",0,""
361,202205,C121H,55,"",6,"",3,"",2,"",1,"",0,""
362,202206,C121H,53,"",9,"",6,"",0,"",3,"",0,""
363,202207,C121H,66,"",21,"",14,"",1,"",6,"",0,""
364,202208,C121H,75,"",12,"",7,"",1,"",4,"",0,""
365,202209,C121H,57,"",12,"",10,"",2,"",0,"",0,""
366,202210,C121H,40,"",1,"",1,"",0,"",0,"",0,""
367,202211,C121H,77,"",11,"",6,"",3,"",2,"",0,""
368,202212,C121H,57,"",13,"",9,"",2,"",2,"",0,""
369,201505,C206H,272,"",27,"",11,"",16,"",0,"",0,""
370,201506,C206H,262,"",24,"",11,"",12,"",1,"",0,""
371,201507,C206H,218,"",24,"",7,"",14,"",3,"",0,""
372,201508,C206H,189,"",19,"",7,"",10,"",1,"",1,""
373,201509,C206H,266,"",17,"",9,"",8,"",0,"",0,""
374,201510,C206H,261,"",27,"",10,"",16,"",1,"",0,""
375,201511,C206H,250,"",19,"",14,"",5,"",0,"",0,""
376,201512,C206H,210,"",18,"",9,"",8,"",1,"",0,""
377,201601,C206H,241,"",16,"",7,"",8,"",0,"",1,""
378,201602,C206H,256,"",22,"",10,"",11,"",1,"",0,""
379,201603,C206H,250,"",29,"",12,"",12,"",0,"",5,""
380,201604,C206H,261,"",26,"",16,"",9,"",0,"",1,""
381,201605,C206H,244,"",23,"",10,"",12,"",1,"",0,""
382,201606,C206H,249,"",19,"",9,"",10,"",0,"",0,""
383,201607,C206H,191,"",17,"",7,"",10,"",0,"",0,""
384,201608,C206H,264,"",27,"",12,"",15,"",0,"",0,""
385,201609,C206H,230,"",27,"",14,"",13,"",0,"",0,""
386,201610,C206H,247,"",21,"",9,"",9,"",0,"",3,""
387,201611,C206H,263,"",28,"",10,"",17,"",1,"",0,""
388,201612,C206H,236,"",28,"",13,"",14,"",1,"",0,""
389,201701,C206H,246,"",25,"",4,"",21,"",0,"",0,""
390,201702,C206H,262,"",21,"",4,"",17,"",0,"",0,""
391,201703,C206H,297,"",32,"",10,"",13,"",9,"",0,""
392,201704,C206H,190,"",14,"",6,"",8,"",0,"",0,""
393,201705,C206H,267,"",23,"",11,"",12,"",0,"",0,""
394,201706,C206H,246,"",25,"",12,"",12,"",1,"",0,""
395,201707,C206H,251,"",27,"",9,"",18,"",0,"",0,""
396,201708,C206H,257,"",18,"",10,"",8,"",0,"",0,""
397,201709,C206H,214,"",22,"",5,"",16,"",1,"",0,""
398,201710,C206H,235,"",16,"",11,"",5,"",0,"",0,""
399,201711,C206H,233,"",21,"",5,"",16,"",0,"",0,""
400,201712,C206H,217,"",34,"",6,"",16,"",0,"",12,""
401,201801,C206H,254,"",32,"",12,"",16,"",0,"",4,""
402,201802,C206H,241,"",35,"",8,"",22,"",0,"",5,""
403,201803,C206H,260,"",26,"",6,"",20,"",0,"",0,""
404,201804,C206H,232,"",24,"",8,"",16,"",0,"",0,""
405,201805,C206H,239,"",27,"",7,"",20,"",0,"",0,""
406,201806,C206H,261,"",29,"",9,"",19,"",1,"",0,""
407,201807,C206H,274,"",20,"",11,"",9,"",0,"",0,""
408,201808,C206H,316,"",29,"",10,"",18,"",0,"",1,""
409,201809,C206H,256,"",25,"",10,"",12,"",0,"",3,""
410,201810,C206H,277,"",25,"",5,"",12,"",0,"",8,""
411,201811,C206H,273,"",19,"",8,"",10,"",0,"",1,""
412,201812,C206H,150,"",7,"",2,"",5,"",0,"",0,""
413,201901,C206H,237,"",28,"",9,"",12,"",0,"",7,""
414,201902,C206H,226,"",13,"",5,"",8,"",0,"",0,""
415,201903,C206H,225,"",22,"",3,"",12,"",7,"",0,""
